Name,Type,Rarity,Number,Quantity
Synara San - Loyal to Kragan,Foil,Uncommon,033/262,
Synara San - Loyal to Kragan,Hyperspace Foil,Uncommon,310,
Supercommando Squad,Normal,Common,034/262,
Supercommando Squad,Hyperspace,Common,311,
Supercommando Squad,Foil,Common,034/262,
Supercommando Squad,Hyperspace Foil,Common,311,
Clan Saxon Gauntlet,Normal,Uncommon,035/262,
Clan Saxon Gauntlet,Hyperspace,Uncommon,312,
Clan Saxon Gauntlet,Foil,Uncommon,035/262,
Clan Saxon Gauntlet,Hyperspace Foil,Uncommon,312,
First Light - Headquarters of the Crimson Dawn,Normal,Rare,036/262,
First Light - Headquarters of the Crimson Dawn,Hyperspace,Rare,313,
First Light - Headquarters of the Crimson Dawn,Foil,Rare,036/262,
First Light - Headquarters of the Crimson Dawn,Hyperspace Foil,Rare,313,
Supreme Leader Snoke - Shadow Ruler,Normal,Legendary,037/262,
Supreme Leader Snoke - Shadow Ruler,Hyperspace,Legendary,314,
Supreme Leader Snoke - Shadow Ruler,Foil,Legendary,037/262,
Supreme Leader Snoke - Shadow Ruler,Hyperspace Foil,Legendary,314,
Brutal Traditions,Normal,Uncommon,038/262,
Brutal Traditions,Hyperspace,Uncommon,315,
Brutal Traditions,Foil,Uncommon,038/262,
Brutal Traditions,Hyperspace Foil,Uncommon,315,
Calculated Lethality,Normal,Special,039/262,
Clan Wren Rescuer,Normal,Common,040/262,
Clan Wren Rescuer,Hyperspace,Common,316,
Clan Wren Rescuer,Foil,Common,040/262,
Clan Wren Rescuer,Hyperspace Foil,Common,316,
Kuiil - I Have Spoken,Normal,Uncommon,041/262,
Kuiil - I Have Spoken,Hyperspace,Uncommon,317,
Kuiil - I Have Spoken,Foil,Uncommon,041/262,
Kuiil - I Have Spoken,Hyperspace Foil,Uncommon,317,
Concord Dawn Interceptors,Normal,Uncommon,042/262,
Concord Dawn Interceptors,Hyperspace,Uncommon,318,
Concord Dawn Interceptors,Foil,Uncommon,042/262,
Concord Dawn Interceptors,Hyperspace Foil,Uncommon,318,
Village Protectors,Normal,Common,043/262,
Village Protectors,Hyperspace,Common,319,
Village Protectors,Foil,Common,043/262,
Village Protectors,Hyperspace Foil,Common,319,
Razor Crest - Reliable Gunship,Normal,Special,044/262,
Rose Tico - Dedicated to the Cause,Normal,Uncommon,045/262,
Rose Tico - Dedicated to the Cause,Hyperspace,Uncommon,320,
Rose Tico - Dedicated to the Cause,Foil,Uncommon,045/262,
Rose Tico - Dedicated to the Cause,Hyperspace Foil,Uncommon,320,
Rey - Keeping the Past,Normal,Legendary,046/262,
Rey - Keeping the Past,Hyperspace,Legendary,321,
Rey - Keeping the Past,Foil,Legendary,046/262,
Rey - Keeping the Past,Hyperspace Foil,Legendary,321,
The Armorer - Survival Is Strength,Normal,Uncommon,047/262,
The Armorer - Survival Is Strength,Hyperspace,Uncommon,322,
The Armorer - Survival Is Strength,Foil,Uncommon,047/262,
The Armorer - Survival Is Strength,Hyperspace Foil,Uncommon,322,
Gentle Giant,Normal,Common,048/262,
Gentle Giant,Hyperspace,Common,323,
Gentle Giant,Foil,Common,048/262,
Gentle Giant,Hyperspace Foil,Common,323,
"The Mandalorian - Wherever I Go, He Goes",Normal,Legendary,049/262,
"The Mandalorian - Wherever I Go, He Goes",Hyperspace,Legendary,324,
"The Mandalorian - Wherever I Go, He Goes",Foil,Legendary,049/262,
"The Mandalorian - Wherever I Go, He Goes",Hyperspace Foil,Legendary,324,
Chewbacca - Pykesbane,Normal,Rare,050/262,
Chewbacca - Pykesbane,Hyperspace,Rare,325,
Chewbacca - Pykesbane,Foil,Rare,050/262,
Chewbacca - Pykesbane,Hyperspace Foil,Rare,325,
Mystic Reflection,Normal,Rare,051/262,
Mystic Reflection,Hyperspace,Rare,326,
Mystic Reflection,Foil,Rare,051/262,
Mystic Reflection,Hyperspace Foil,Rare,326,
Sugi - Hired Guardian,Normal,Rare,052/262,
Sugi - Hired Guardian,Hyperspace,Rare,327,
Sugi - Hired Guardian,Foil,Rare,052/262,
Sugi - Hired Guardian,Hyperspace Foil,Rare,327,
Second Chance,Normal,Legendary,053/262,
Second Chance,Hyperspace,Legendary,328,
Second Chance,Foil,Legendary,053/262,
Second Chance,Hyperspace Foil,Legendary,328,
Midnight Repairs,Normal,Uncommon,054/262,
Midnight Repairs,Hyperspace,Uncommon,329,
Midnight Repairs,Foil,Uncommon,054/262,
Midnight Repairs,Hyperspace Foil,Uncommon,329,
Moisture Farmer,Normal,Common,055/262,
Moisture Farmer,Hyperspace,Common,330,
Moisture Farmer,Foil,Common,055/262,
Moisture Farmer,Hyperspace Foil,Common,330,
Follower of The Way,Normal,Common,056/262,
Follower of The Way,Foil,Common,056/262,
Follower of the Way,Hyperspace,Common,331,
Follower of the Way,Hyperspace Foil,Common,331,
Rickety Quadjumper,Normal,Common,057/262,
Rickety Quadjumper,Hyperspace,Common,332,
Rickety Quadjumper,Foil,Common,057/262,
Rickety Quadjumper,Hyperspace Foil,Common,332,
Val - Loyal to the End,Normal,Rare,058/262,
Val - Loyal to the End,Hyperspace,Rare,333,
Val - Loyal to the End,Foil,Rare,058/262,
Val - Loyal to the End,Hyperspace Foil,Rare,333,
Embo - Stoic and Resolute,Normal,Uncommon,059/262,
Embo - Stoic and Resolute,Hyperspace,Uncommon,334,
Embo - Stoic and Resolute,Foil,Uncommon,059/262,
Embo - Stoic and Resolute,Hyperspace Foil,Uncommon,334,
HWK-290 Freighter,Normal,Common,060/262,
HWK-290 Freighter,Hyperspace,Common,335,
HWK-290 Freighter,Foil,Common,060/262,
HWK-290 Freighter,Hyperspace Foil,Common,335,
Wroshyr Tree Tender,Normal,Common,061/262,
Wroshyr Tree Tender,Hyperspace,Common,336,
Wroshyr Tree Tender,Foil,Common,061/262,
Wroshyr Tree Tender,Hyperspace Foil,Common,336,
Niima Outpost Constables,Normal,Common,062/262,
Niima Outpost Constables,Hyperspace,Common,337,
Niima Outpost Constables,Foil,Common,062/262,
Niima Outpost Constables,Hyperspace Foil,Common,337,
System Patrol Craft,Normal,Special,063/262,
Survivors' Gauntlet,Normal,Rare,064/262,
Survivors' Gauntlet,Hyperspace,Rare,338,
Survivors' Gauntlet,Foil,Rare,064/262,
Survivors' Gauntlet,Hyperspace Foil,Rare,338,
Vigilant Pursuit Craft,Normal,Common,065/262,
Vigilant Pursuit Craft,Hyperspace,Common,339,
Vigilant Pursuit Craft,Foil,Common,065/262,
Vigilant Pursuit Craft,Hyperspace Foil,Common,339,
Cargo Juggernaut,Normal,Common,066/262,
Cargo Juggernaut,Hyperspace,Common,340,
Cargo Juggernaut,Foil,Common,066/262,
Cargo Juggernaut,Hyperspace Foil,Common,340,
Fenn Rau - Protector of Concord Dawn,Normal,Uncommon,067/262,
Fenn Rau - Protector of Concord Dawn,Hyperspace,Uncommon,341,
Fenn Rau - Protector of Concord Dawn,Foil,Uncommon,067/262,
Fenn Rau - Protector of Concord Dawn,Hyperspace Foil,Uncommon,341,
Public Enemy,Normal,Common,068/262,
Public Enemy,Hyperspace,Common,342,
Public Enemy,Foil,Common,068/262,
Public Enemy,Hyperspace Foil,Common,342,
Foundling,Normal,Common,069/262,
Foundling,Hyperspace,Common,343,
Foundling,Foil,Common,069/262,
Foundling,Hyperspace Foil,Common,343,
Resilient,Normal,Special,070/262,
Top Target,Normal,Uncommon,071/262,
Top Target,Hyperspace,Uncommon,344,
Top Target,Foil,Uncommon,071/262,
Top Target,Hyperspace Foil,Uncommon,344,
Imprisoned,Normal,Rare,072/262,
Imprisoned,Hyperspace,Rare,345,
Imprisoned,Foil,Rare,072/262,
Imprisoned,Hyperspace Foil,Rare,345,
Mandalorian Armor,Normal,Rare,073/262,
Mandalorian Armor,Hyperspace,Rare,346,
Mandalorian Armor,Foil,Rare,073/262,
Mandalorian Armor,Hyperspace Foil,Rare,346,
Vambrace Grappleshot,Normal,Common,074/262,
Vambrace Grappleshot,Hyperspace,Common,347,
Vambrace Grappleshot,Foil,Common,074/262,
Vambrace Grappleshot,Hyperspace Foil,Common,347,
Covert Strength,Normal,Common,075/262,
Covert Strength,Hyperspace,Common,348,
Covert Strength,Foil,Common,075/262,
Covert Strength,Hyperspace Foil,Common,348,
Unexpected Escape,Normal,Uncommon,076/262,
Unexpected Escape,Hyperspace,Uncommon,349,
Unexpected Escape,Foil,Uncommon,076/262,
Unexpected Escape,Hyperspace Foil,Uncommon,349,
Evidence of the Crime,Normal,Rare,077/262,
Evidence of the Crime,Hyperspace,Rare,350,
Evidence of the Crime,Foil,Rare,077/262,
Evidence of the Crime,Hyperspace Foil,Rare,350,
Fell the Dragon,Normal,Uncommon,078/262,
Fell the Dragon,Hyperspace,Uncommon,351,
Fell the Dragon,Foil,Uncommon,078/262,
Fell the Dragon,Hyperspace Foil,Uncommon,351,
Rival's Fall,Normal,Common,079/262,
Rival's Fall,Hyperspace,Common,352,
Rival's Fall,Foil,Common,079/262,
Rival's Fall,Hyperspace Foil,Common,352,
Salacious Crumb - Obnoxious Pet,Normal,Uncommon,080/262,
Salacious Crumb - Obnoxious Pet,Hyperspace,Uncommon,353,
Salacious Crumb - Obnoxious Pet,Foil,Uncommon,080/262,
Salacious Crumb - Obnoxious Pet,Hyperspace Foil,Uncommon,353,
General Tagge - Concerned Commander,Normal,Special,081/262,
Outland TIE Vanguard,Normal,Common,082/262,
Outland TIE Vanguard,Hyperspace,Common,354,
Outland TIE Vanguard,Foil,Common,082/262,
Outland TIE Vanguard,Hyperspace Foil,Common,354,
Seasoned Shoretrooper,Normal,Special,083/262,
Phase-III Dark Trooper,Normal,Special,084/262,
Superlaser Technician,Normal,Special,085/262,
Warbird Stowaway,Normal,Common,086/262,
Warbird Stowaway,Hyperspace,Common,355,
Warbird Stowaway,Foil,Common,086/262,
Warbird Stowaway,Hyperspace Foil,Common,355,
Crosshair - Following Orders,Normal,Uncommon,087/262,
Crosshair - Following Orders,Hyperspace,Uncommon,356,
Crosshair - Following Orders,Foil,Uncommon,087/262,
Crosshair - Following Orders,Hyperspace Foil,Uncommon,356,
Ephant Mon - Head of Security,Normal,Rare,088/262,
Ephant Mon - Head of Security,Hyperspace,Rare,357,
Ephant Mon - Head of Security,Foil,Rare,088/262,
Ephant Mon - Head of Security,Hyperspace Foil,Rare,357,
Pirate Battle Tank,Normal,Common,089/262,
Pirate Battle Tank,Hyperspace,Common,358,
Pirate Battle Tank,Foil,Common,089/262,
Pirate Battle Tank,Hyperspace Foil,Common,358,
Maul - Shadow Collective Visionary,Normal,Rare,090/262,
Maul - Shadow Collective Visionary,Hyperspace,Rare,359,
Maul - Shadow Collective Visionary,Foil,Rare,090/262,
Maul - Shadow Collective Visionary,Hyperspace Foil,Rare,359,
Jabba's Rancor - Pateesa,Normal,Uncommon,091/262,
Jabba's Rancor - Pateesa,Hyperspace,Uncommon,360,
Jabba's Rancor - Pateesa,Foil,Uncommon,091/262,
Jabba's Rancor - Pateesa,Hyperspace Foil,Uncommon,360,
Finalizer - Might of the First Order,Normal,Legendary,092/262,
Finalizer - Might of the First Order,Hyperspace,Legendary,361,
Finalizer - Might of the First Order,Foil,Legendary,092/262,
Finalizer - Might of the First Order,Hyperspace Foil,Legendary,361,
Remnant Reserves,Normal,Uncommon,093/262,
Remnant Reserves,Hyperspace,Uncommon,362,
Remnant Reserves,Foil,Uncommon,093/262,
Remnant Reserves,Hyperspace Foil,Uncommon,362,
Palpatine's Return,Normal,Rare,094/262,
Palpatine's Return,Hyperspace,Rare,363,
Palpatine's Return,Foil,Rare,094/262,
Palpatine's Return,Hyperspace Foil,Rare,363,
Clone Deserter,Normal,Common,095/262,
Clone Deserter,Hyperspace,Common,364,
Clone Deserter,Foil,Common,095/262,
Clone Deserter,Hyperspace Foil,Common,364,
Maz Kanata - Pirate Queen,Normal,Rare,096/262,
Maz Kanata - Pirate Queen,Hyperspace,Rare,365,
Maz Kanata - Pirate Queen,Foil,Rare,096/262,
Maz Kanata - Pirate Queen,Hyperspace Foil,Rare,365,
Freetown Backup,Normal,Uncommon,097/262,
Freetown Backup,Hyperspace,Uncommon,366,
Freetown Backup,Foil,Uncommon,097/262,
Freetown Backup,Hyperspace Foil,Uncommon,366,
Sundari Peacekeeper,Normal,Uncommon,098/262,
Sundari Peacekeeper,Hyperspace,Uncommon,367,
Sundari Peacekeeper,Foil,Uncommon,098/262,
Sundari Peacekeeper,Hyperspace Foil,Uncommon,367,
Echo - Restored,Normal,Uncommon,099/262,
Echo - Restored,Hyperspace,Uncommon,368,
Echo - Restored,Foil,Uncommon,099/262,
Echo - Restored,Hyperspace Foil,Uncommon,368,
Modded Cohort,Normal,Common,100/262,
Modded Cohort,Hyperspace,Common,369,
Modded Cohort,Foil,Common,100/262,
Modded Cohort,Hyperspace Foil,Common,369,
Adelphi Patrol Wing,Normal,Common,101/262,
Adelphi Patrol Wing,Hyperspace,Common,370,
Adelphi Patrol Wing,Foil,Common,101/262,
Adelphi Patrol Wing,Hyperspace Foil,Common,370,
The Marauder - Shuttling the Bad Batch,Normal,Rare,102/262,
The Marauder - Shuttling the Bad Batch,Hyperspace,Rare,371,
The Marauder - Shuttling the Bad Batch,Foil,Rare,102/262,
The Marauder - Shuttling the Bad Batch,Hyperspace Foil,Rare,371,
General Rieekan - Defensive Strategist,Normal,Rare,103/262,
General Rieekan - Defensive Strategist,Hyperspace,Rare,372,
General Rieekan - Defensive Strategist,Foil,Rare,103/262,
General Rieekan - Defensive Strategist,Hyperspace Foil,Rare,372,
Inspiring Mentor,Normal,Rare,104/262,
Inspiring Mentor,Hyperspace,Rare,373,
Inspiring Mentor,Foil,Rare,104/262,
Inspiring Mentor,Hyperspace Foil,Rare,373,
Spark of Hope,Normal,Uncommon,105/262,
Spark of Hope,Hyperspace,Uncommon,374,
Spark of Hope,Foil,Uncommon,105/262,
Spark of Hope,Hyperspace Foil,Uncommon,374,
Rule With Respect,Hyperspace,Legendary,375,
Rule With Respect,Hyperspace Foil,Legendary,375,
Rule with Respect,Normal,Legendary,106/262,
Rule with Respect,Foil,Legendary,106/262,
Enterprising Lackeys,Normal,Rare,107/262,
Enterprising Lackeys,Hyperspace,Rare,376,
Enterprising Lackeys,Foil,Rare,107/262,
Enterprising Lackeys,Hyperspace Foil,Rare,376,
Enforced Loyalty,Normal,Uncommon,108/262,
Enforced Loyalty,Hyperspace,Uncommon,377,
Enforced Loyalty,Foil,Uncommon,108/262,
Enforced Loyalty,Hyperspace Foil,Uncommon,377,
Endless Legions,Normal,Legendary,109/262,
Endless Legions,Hyperspace,Legendary,378,
Endless Legions,Foil,Legendary,109/262,
Endless Legions,Hyperspace Foil,Legendary,378,
Warzone Lieutenant,Normal,Common,110/262,
Warzone Lieutenant,Hyperspace,Common,379,
Warzone Lieutenant,Foil,Common,110/262,
Warzone Lieutenant,Hyperspace Foil,Common,379,
Collections Starhopper,Normal,Common,111/262,
Collections Starhopper,Hyperspace,Common,380,
Collections Starhopper,Foil,Common,111/262,
Collections Starhopper,Hyperspace Foil,Common,380,
Gamorrean Retainer,Normal,Common,112/262,
Gamorrean Retainer,Hyperspace,Common,381,
Gamorrean Retainer,Foil,Common,112/262,
Gamorrean Retainer,Hyperspace Foil,Common,381,
Privateer Crew,Normal,Uncommon,113/262,
Privateer Crew,Hyperspace,Uncommon,382,
Privateer Crew,Foil,Uncommon,113/262,
Privateer Crew,Hyperspace Foil,Uncommon,382,
Scanning Officer,Normal,Uncommon,114/262,
Scanning Officer,Hyperspace,Uncommon,383,
Scanning Officer,Foil,Uncommon,114/262,
Scanning Officer,Hyperspace Foil,Uncommon,383,
Cobb Vanth - The Marshal,Normal,Rare,115/262,
Cobb Vanth - The Marshal,Hyperspace,Rare,384,
Cobb Vanth - The Marshal,Foil,Rare,115/262,
Cobb Vanth - The Marshal,Hyperspace Foil,Rare,384,
Outlaw Corona,Normal,Common,116/262,
Outlaw Corona,Hyperspace,Common,385,
Outlaw Corona,Foil,Common,116/262,
Outlaw Corona,Hyperspace Foil,Common,385,
Reputable Hunter,Normal,Common,117/262,
Reputable Hunter,Hyperspace,Common,386,
Reputable Hunter,Foil,Common,117/262,
Reputable Hunter,Hyperspace Foil,Common,386,
Kihraxz Heavy Fighter,Normal,Uncommon,118/262,
Kihraxz Heavy Fighter,Hyperspace,Uncommon,387,
Kihraxz Heavy Fighter,Foil,Uncommon,118/262,
Kihraxz Heavy Fighter,Hyperspace Foil,Uncommon,387,
Weequay Pirate Gang,Normal,Common,119/262,
Weequay Pirate Gang,Hyperspace,Common,388,
Weequay Pirate Gang,Foil,Common,119/262,
Weequay Pirate Gang,Hyperspace Foil,Common,388,
Discerning Veteran,Normal,Common,120/262,
Discerning Veteran,Hyperspace,Common,389,
Discerning Veteran,Foil,Common,120/262,
Discerning Veteran,Hyperspace Foil,Common,389,
Mercenary Company,Normal,Common,121/262,
Mercenary Company,Hyperspace,Common,390,
Mercenary Company,Foil,Common,121/262,
Mercenary Company,Hyperspace Foil,Common,390,
Arquitens Assault Cruiser,Normal,Rare,122/262,
Arquitens Assault Cruiser,Hyperspace,Rare,391,
Arquitens Assault Cruiser,Foil,Rare,122/262,
Arquitens Assault Cruiser,Hyperspace Foil,Rare,391,
Bounty Hunter's Quarry,Normal,Uncommon,123/262,
Bounty Hunter's Quarry,Hyperspace,Uncommon,392,
Bounty Hunter's Quarry,Foil,Uncommon,123/262,
Bounty Hunter's Quarry,Hyperspace Foil,Uncommon,392,
Legal Authority,Normal,Rare,124/262,
Legal Authority,Hyperspace,Rare,393,
Legal Authority,Foil,Rare,124/262,
Legal Authority,Hyperspace Foil,Rare,393,
Price on Your Head,Normal,Common,125/262,
Price on Your Head,Hyperspace,Common,394,
Price on Your Head,Foil,Common,125/262,
Price on Your Head,Hyperspace Foil,Common,394,
The Darksaber,Normal,Legendary,126/262,
The Darksaber,Hyperspace,Legendary,395,
The Darksaber,Foil,Legendary,126/262,
The Darksaber,Hyperspace Foil,Legendary,395,
Commission,Normal,Uncommon,127/262,
Commission,Hyperspace,Uncommon,396,
Commission,Foil,Uncommon,127/262,
Commission,Hyperspace Foil,Uncommon,396,
Outflank,Normal,Common,128/262,
Outflank,Hyperspace,Common,397,
Outflank,Foil,Common,128/262,
Outflank,Hyperspace Foil,Common,397,
Timely Intervention,Normal,Common,129/262,
Timely Intervention,Hyperspace,Common,398,
Timely Intervention,Foil,Common,129/262,
Timely Intervention,Hyperspace Foil,Common,398,
Moment of Glory,Normal,Common,130/262,
Moment of Glory,Hyperspace,Common,399,
Moment of Glory,Foil,Common,130/262,
Moment of Glory,Hyperspace Foil,Common,399,
Take Captive,Normal,Common,131/262,
Take Captive,Hyperspace,Common,400,
Take Captive,Foil,Common,131/262,
Take Captive,Hyperspace Foil,Common,400,
Choose Sides,Normal,Rare,132/262,
Choose Sides,Hyperspace,Rare,401,
Choose Sides,Foil,Rare,132/262,
Choose Sides,Hyperspace Foil,Rare,401,
Dengar - The Demolisher,Normal,Uncommon,133/262,
Dengar - The Demolisher,Hyperspace,Uncommon,402,
Dengar - The Demolisher,Foil,Uncommon,133/262,
Dengar - The Demolisher,Hyperspace Foil,Uncommon,402,
Guavian Antagonizer,Normal,Common,134/262,
Guavian Antagonizer,Hyperspace,Common,403,
Guavian Antagonizer,Foil,Common,134/262,
Guavian Antagonizer,Hyperspace Foil,Common,403,
Kylo's TIE Silencer - Ruthlessly Efficient,Normal,Legendary,135/262,
Kylo's TIE Silencer - Ruthlessly Efficient,Hyperspace,Legendary,404,
Kylo's TIE Silencer - Ruthlessly Efficient,Foil,Legendary,135/262,
Kylo's TIE Silencer - Ruthlessly Efficient,Hyperspace Foil,Legendary,404,
Death Watch Loyalist,Normal,Common,136/262,
Death Watch Loyalist,Hyperspace,Common,405,
Death Watch Loyalist,Foil,Common,136/262,
Death Watch Loyalist,Hyperspace Foil,Common,405,
Punishing One - Dengar's Jumpmaster,Normal,Uncommon,137/262,
Punishing One - Dengar's Jumpmaster,Hyperspace,Uncommon,406,
Punishing One - Dengar's Jumpmaster,Foil,Uncommon,137/262,
Punishing One - Dengar's Jumpmaster,Hyperspace Foil,Uncommon,406,
Jango Fett - Renowned Bounty Hunter,Normal,Rare,138/262,
Jango Fett - Renowned Bounty Hunter,Hyperspace,Rare,407,
Jango Fett - Renowned Bounty Hunter,Foil,Rare,138/262,
Jango Fett - Renowned Bounty Hunter,Hyperspace Foil,Rare,407,
Krrsantan - Muscle for Hire,Normal,Uncommon,139/262,
Krrsantan - Muscle for Hire,Hyperspace,Uncommon,408,
Krrsantan - Muscle for Hire,Foil,Uncommon,139/262,
Krrsantan - Muscle for Hire,Hyperspace Foil,Uncommon,408,
Trandoshan Hunters,Normal,Common,140/262,
Trandoshan Hunters,Hyperspace,Common,409,
Trandoshan Hunters,Foil,Common,140/262,
Trandoshan Hunters,Hyperspace Foil,Common,409,
Kylo Ren - Killing the Past,Normal,Legendary,141/262,
Kylo Ren - Killing the Past,Hyperspace,Legendary,410,
Kylo Ren - Killing the Past,Foil,Legendary,141/262,
Kylo Ren - Killing the Past,Hyperspace Foil,Legendary,410,
Pre Vizsla - Power Hungry,Normal,Rare,142/262,
Pre Vizsla - Power Hungry,Hyperspace,Rare,411,
Pre Vizsla - Power Hungry,Foil,Rare,142/262,
Pre Vizsla - Power Hungry,Hyperspace Foil,Rare,411,
Ruthlessness,Normal,Rare,143/262,
Ruthlessness,Hyperspace,Rare,412,
Ruthlessness,Foil,Rare,143/262,
Ruthlessness,Hyperspace Foil,Rare,412,
Give In to Your Anger,Normal,Rare,144/262,
Give In to Your Anger,Hyperspace,Rare,413,
Give In to Your Anger,Foil,Rare,144/262,
Give In to Your Anger,Hyperspace Foil,Rare,413,
Headhunting,Normal,Uncommon,145/262,
Headhunting,Hyperspace,Uncommon,414,
Headhunting,Foil,Uncommon,145/262,
Headhunting,Hyperspace Foil,Uncommon,414,
