Select all table rows,Image,Product Name,Printing,Condition,Rarity,Number,Market Price,"Add to CartWe’re dedicated to helping you save both time and money by finding you the lowest prices around, with priority given to Direct."
Select table row 72,,Aurra Sing - Patient and Deadly (Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,681,$0.25,Quantity:1123456789Add To Cart
Select table row 73,,Aurra Sing - Patient and Deadly (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,919,$1.48,Quantity:1123456789Add To Cart
Select table row 74,,Aurra Sing - Patient and Deadly (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,443,$0.59,Quantity:1123456789Add To Cart
Select table row 75,,Avar Kriss - Marshal of Starlight,Normal,Condition:Near MintNear MintLightly Played,Rare,007/264,$0.17,Quantity:1123456789Add To Cart
Select table row 76,,Avar Kriss - Marshal of Starlight (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,271,$0.43,Quantity:1123456789Add To Cart
Select table row 77,,Avar Kriss - Marshal of Starlight (Showcase),Foil,Condition:Near MintNear MintLightly PlayedModerately PlayedDamaged,Rare,1011,$80.36,Quantity:1123456789Add To Cart
Select table row 78,,Awakened Specters,Normal,Near Mint,Common,066/264,$0.04,Quantity:1123456789Add To Cart
Select table row 79,,Awakened Specters (Foil),Foil,Near Mint,Common,568,$0.15,Quantity:1123456789Add To Cart
Select table row 80,,Awakened Specters (Hyperspace Foil),Foil,Near Mint,Common,806,$0.16,Quantity:1123456789Add To Cart
Select table row 81,,Awakened Specters (Hyperspace),Normal,Near Mint,Common,330,$0.14,Quantity:1123456789Add To Cart
Select table row 82,,Axe Woves - Accomplished Warrior,Normal,Condition:Near MintNear MintLightly Played,Rare,062/264,$1.30,Quantity:1123456789Add To Cart
Select table row 83,,Axe Woves - Accomplished Warrior (Foil),Foil,Condition:Near MintNear MintLightly PlayedDamaged,Rare,564,$1.26,Quantity:1123456789Add To Cart
Select table row 84,,Axe Woves - Accomplished Warrior (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,802,$3.22,Quantity:1123456789Add To Cart
Select table row 85,,Axe Woves - Accomplished Warrior (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,326,$2.13,Quantity:1123456789Add To Cart
Select table row 86,,BD-1 - Beep Boo Boo Bweep,Normal,Condition:Near MintNear MintLightly Played,Uncommon,191/264,$0.11,Quantity:1123456789Add To Cart
Select table row 87,,BD-1 - Beep Boo Boo Bweep (Foil),Foil,Near Mint,Uncommon,693,$0.19,Quantity:1123456789Add To Cart
Select table row 88,,BD-1 - Beep Boo Boo Bweep (Hyperspace Foil),Foil,Near Mint,Uncommon,931,$0.46,Quantity:1123456789Add To Cart
Select table row 89,,BD-1 - Beep Boo Boo Bweep (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,455,$0.32,Quantity:1123456789Add To Cart
Select table row 90,,Babu Frik - Heyyy!,Normal,Condition:Near MintNear MintLightly Played,Rare,206/264,$0.33,Quantity:1123456789Add To Cart
Select table row 91,,Babu Frik - Heyyy! (Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,708,$0.23,Quantity:1123456789Add To Cart
Select table row 92,,Babu Frik - Heyyy! (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly PlayedDamaged,Rare,946,$1.61,Quantity:1123456789Add To Cart
Select table row 93,,Babu Frik - Heyyy! (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,470,$0.74,Quantity:1123456789Add To Cart
Select table row 94,,Banking Clan Shuttle,Normal,Near Mint,Common,181/264,$0.05,Quantity:1123456789Add To Cart
Select table row 95,,Banking Clan Shuttle (Foil),Foil,Near Mint,Common,683,$0.09,Quantity:1123456789Add To Cart
Select table row 96,,Banking Clan Shuttle (Hyperspace Foil),Foil,Near Mint,Common,921,$0.29,Quantity:1123456789Add To Cart
Select table row 97,,Banking Clan Shuttle (Hyperspace),Normal,Near Mint,Common,445,$0.18,Quantity:1123456789Add To Cart
Select table row 98,,Barriss Offee - We Have Become Villains,Normal,Condition:Near MintNear MintLightly Played,Rare,013/264,$0.14,Quantity:1123456789Add To Cart
Select table row 99,,Barriss Offee - We Have Become Villains (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,277,$0.21,Quantity:1123456789Add To Cart
Select table row 100,,Barriss Offee - We Have Become Villains (Showcase),Foil,Condition:Near MintNear MintLightly Played,Rare,1017,$81.48,Quantity:1123456789Add To Cart
Select table row 101,,Battle Fury,Normal,Condition:Near MintNear MintLightly Played,Uncommon,139/264,$0.13,Quantity:1123456789Add To Cart
Select table row 102,,Battle Fury (Foil),Foil,Near Mint,Uncommon,641,$0.18,Quantity:1123456789Add To Cart
Select table row 103,,Battle Fury (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,879,$0.41,Quantity:1123456789Add To Cart
Select table row 104,,Battle Fury (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,403,$0.31,Quantity:1123456789Add To Cart
Select table row 105,,Baylan Skoll - Enigmatic Master,Normal,Near Mint,Uncommon,185/264,$0.11,Quantity:1123456789Add To Cart
Select table row 106,,Baylan Skoll - Enigmatic Master (Foil),Foil,Near Mint,Uncommon,687,$0.16,Quantity:1123456789Add To Cart
Select table row 107,,Baylan Skoll - Enigmatic Master (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,925,$0.57,Quantity:1123456789Add To Cart
Select table row 108,,Baylan Skoll - Enigmatic Master (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,449,$0.34,Quantity:1123456789Add To Cart
Select table row 109,,Baylan Skoll - Enigmatic Master (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,1111,$4.66,Quantity:1123456789Add To Cart
Select table row 110,,Baylan Skoll - Enigmatic Master (Prestige),Normal,Condition:Near MintNear MintLightly Played,Uncommon,1065,$2.39,Quantity:1123456789Add To Cart
Select table row 111,,Baylan Skoll - Enigmatic Master (Serialized),Foil,Near Mint,Uncommon,1157,$316.88,Quantity:1123456789Add To Cart
Select table row 112,,Bendu - Do You Fear the Storm?,Normal,Condition:Near MintNear MintLightly Played,Legendary,170/264,$0.62,Quantity:1123456789Add To Cart
Select table row 113,,Bendu - Do You Fear the Storm? (Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,672,$0.80,Quantity:1123456789Add To Cart
Select table row 114,,Bendu - Do You Fear the Storm? (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,910,$1.65,Quantity:1123456789Add To Cart
Select table row 115,,Bendu - Do You Fear the Storm? (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Legendary,434,$0.60,Quantity:1123456789Add To Cart
Select table row 116,,Bendu - Do You Fear the Storm? (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,1091,$4.42,Quantity:1123456789Add To Cart
Select table row 117,,Bendu - Do You Fear the Storm? (Prestige),Normal,Condition:Near MintNear MintLightly Played,Legendary,1045,$2.02,Quantity:1123456789Add To Cart
Select table row 118,,Blockade Runner,Normal,Condition:Near MintNear MintLightly Played,Uncommon,166/264,$0.11,Quantity:1123456789Add To Cart
Select table row 119,,Blockade Runner (Foil),Foil,Near Mint,Uncommon,668,$0.18,Quantity:1123456789Add To Cart
Select table row 120,,Blockade Runner (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,906,$0.40,Quantity:1123456789Add To Cart
Select table row 121,,Blockade Runner (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,430,$0.25,Quantity:1123456789Add To Cart
Select table row 122,,Blue Squadron Assault Wing,Normal,Near Mint,Common,251/264,$0.05,Quantity:1123456789Add To Cart
Select table row 123,,Blue Squadron Assault Wing (Foil),Foil,Near Mint,Common,753,$0.11,Quantity:1123456789Add To Cart
Select table row 124,,Blue Squadron Assault Wing (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,991,$0.20,Quantity:1123456789Add To Cart
Select table row 125,,Blue Squadron Assault Wing (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,515,$0.15,Quantity:1123456789Add To Cart
Select table row 126,,Bolstered Endurance,Normal,Condition:Near MintNear MintLightly Played,Common,074/264,$0.08,Quantity:1123456789Add To Cart
Select table row 127,,Bolstered Endurance (Foil),Foil,Condition:Near MintNear MintLightly Played,Common,576,$0.13,Quantity:1123456789Add To Cart
Select table row 128,,Bolstered Endurance (Hyperspace Foil),Foil,Near Mint,Common,814,$0.27,Quantity:1123456789Add To Cart
Select table row 129,,Bolstered Endurance (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,338,$0.16,Quantity:1123456789Add To Cart
Select table row 130,,Cal Kestis - I Can't Keep Hiding,Normal,Condition:Near MintNear MintLightly Played,Common,015/264,$0.08,Quantity:1123456789Add To Cart
Select table row 131,,Cal Kestis - I Can't Keep Hiding (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,279,$0.17,Quantity:1123456789Add To Cart
Select table row 132,,Cal Kestis - I Can't Keep Hiding (Showcase),Foil,Condition:Near MintNear MintLightly Played,Common,1019,$46.62,Quantity:1123456789Add To Cart
Select table row 133,,Calm in the Storm,Normal,Condition:Near MintNear MintLightly Played,Uncommon,054/264,$0.11,Quantity:1123456789Add To Cart
Select table row 134,,Calm in the Storm (Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,556,$0.16,Quantity:1123456789Add To Cart
Select table row 135,,Calm in the Storm (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,794,$0.66,Quantity:1123456789Add To Cart
Select table row 136,,Calm in the Storm (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,318,$0.25,Quantity:1123456789Add To Cart
Select table row 137,,Captain Enoch - Captain of the Guard,Normal,Condition:Near MintNear MintLightly Played,Rare,083/264,$0.36,Quantity:1123456789Add To Cart
Select table row 138,,Captain Enoch - Captain of the Guard (Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,585,$0.29,Quantity:1123456789Add To Cart
Select table row 139,,Captain Enoch - Captain of the Guard (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,823,$1.79,Quantity:1123456789Add To Cart
Select table row 140,,Captain Enoch - Captain of the Guard (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,347,$1.04,Quantity:1123456789Add To Cart
Select table row 141,,Caretaker Matron,Normal,Condition:Near MintNear MintLightly Played,Uncommon,243/264,$0.09,Quantity:1123456789Add To Cart
Select table row 142,,Caretaker Matron (Foil),Foil,Near Mint,Uncommon,745,$0.14,Quantity:1123456789Add To Cart
Select table row 143,,Caretaker Matron (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Uncommon,983,$0.22,Quantity:1123456789Add To Cart
Select table row 144,,Caretaker Matron (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Uncommon,507,$0.20,Quantity:1123456789Add To Cart
Select table row 145,,Cartel Interceptor,Normal,Near Mint,Common,157/264,$0.08,Quantity:1123456789Add To Cart
Select table row 146,,Cartel Interceptor (Foil),Foil,Condition:Near MintNear MintLightly Played,Common,659,$0.11,Quantity:1123456789Add To Cart
Select table row 147,,Cartel Interceptor (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,897,$0.29,Quantity:1123456789Add To Cart
Select table row 148,,Cartel Interceptor (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,421,$0.19,Quantity:1123456789Add To Cart
Select table row 149,,Charging Phillak,Normal,Near Mint,Common,210/264,$0.05,Quantity:1123456789Add To Cart
Select table row 150,,Charging Phillak (Foil),Foil,Near Mint,Common,712,$0.14,Quantity:1123456789Add To Cart
Select table row 151,,Charging Phillak (Hyperspace Foil),Foil,Near Mint,Common,950,$0.32,Quantity:1123456789Add To Cart
Select table row 152,,Charging Phillak (Hyperspace),Normal,Near Mint,Common,474,$0.17,Quantity:1123456789Add To Cart
Select table row 153,,"Chirrut Imwe - Blind, but not Deaf",Normal,Condition:Near MintNear MintLightly Played,Uncommon,067/264,$0.22,Quantity:1123456789Add To Cart
Select table row 154,,"Chirrut Imwe - Blind, but not Deaf (Foil)",Foil,Condition:Near MintNear MintLightly Played,Uncommon,569,$0.36,Quantity:1123456789Add To Cart
Select table row 155,,"Chirrut Imwe - Blind, but not Deaf (Hyperspace Foil)",Foil,Condition:Near MintNear MintLightly Played,Uncommon,807,$1.73,Quantity:1123456789Add To Cart
Select table row 156,,"Chirrut Imwe - Blind, but not Deaf (Hyperspace)",Normal,Condition:Near MintNear MintLightly Played,Uncommon,331,$0.76,Quantity:1123456789Add To Cart
Select table row 157,,"Chirrut Imwe - Blind, but not Deaf (Prestige Foil)",Foil,Condition:Near MintNear MintLightly Played,Uncommon,1092,$13.50,Quantity:1123456789Add To Cart
Select table row 158,,"Chirrut Imwe - Blind, but not Deaf (Prestige)",Normal,Condition:Near MintNear MintLightly Played,Uncommon,1046,$6.28,Quantity:1123456789Add To Cart
Select table row 159,,Cin Drallig - Esteemed Blademaster,Normal,Condition:Near MintNear MintLightly Played,Legendary,150/264,$0.66,Quantity:1123456789Add To Cart
Select table row 160,,Cin Drallig - Esteemed Blademaster (Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,652,$0.86,Quantity:1123456789Add To Cart
Select table row 161,,Cin Drallig - Esteemed Blademaster (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,890,$1.67,Quantity:1123456789Add To Cart
Select table row 162,,Cin Drallig - Esteemed Blademaster (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Legendary,414,$0.97,Quantity:1123456789Add To Cart
Select table row 163,,Cin Drallig - Esteemed Blademaster (Prestige Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,1105,$2.74,Quantity:1123456789Add To Cart
Select table row 164,,Cin Drallig - Esteemed Blademaster (Prestige),Normal,Condition:Near MintNear MintLightly Played,Legendary,1059,$1.54,Quantity:1123456789Add To Cart
Select table row 165,,Cin Drallig - Esteemed Blademaster (Serialized),Foil,Near Mint,Legendary,1151,$72.43,Quantity:1123456789Add To Cart
Select table row 166,,Constructed Lightsaber,Normal,Condition:Near MintNear MintLightly PlayedDamaged,Legendary,261/264,$9.16,Quantity:1123456789Add To Cart
Select table row 167,,Constructed Lightsaber (Foil),Foil,Condition:Near MintNear MintLightly Played,Legendary,763,$10.83,Quantity:1123456789Add To Cart
Select table row 168,,Constructed Lightsaber (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly PlayedModerately Played,Legendary,1001,$27.94,Quantity:1123456789Add To Cart
Select table row 169,,Constructed Lightsaber (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Legendary,525,$10.42,Quantity:1123456789Add To Cart
Select table row 170,,Consumed by the Dark Side,Normal,Condition:Near MintNear MintLightly Played,Common,239/264,$0.07,Quantity:1123456789Add To Cart
Select table row 171,,Consumed by the Dark Side (Foil),Foil,Near Mint,Common,741,$0.14,Quantity:1123456789Add To Cart
Select table row 172,,Consumed by the Dark Side (Hyperspace Foil),Foil,Near Mint,Common,979,$0.28,Quantity:1123456789Add To Cart
Select table row 173,,Consumed by the Dark Side (Hyperspace),Normal,Near Mint,Common,503,$0.19,Quantity:1123456789Add To Cart
Select table row 174,,Corrupted Saber,Normal,Condition:Near MintNear MintLightly Played,Common,187/264,$0.08,Quantity:1123456789Add To Cart
Select table row 175,,Corrupted Saber (Foil),Foil,Condition:Near MintNear MintLightly Played,Common,689,$0.32,Quantity:1123456789Add To Cart
Select table row 176,,Corrupted Saber (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,927,$0.44,Quantity:1123456789Add To Cart
Select table row 177,,Corrupted Saber (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Common,451,$0.22,Quantity:1123456789Add To Cart
Select table row 178,,Craving Power,Normal,Condition:Near MintNear MintLightly PlayedDamaged,Rare,091/264,$3.80,Quantity:1123456789Add To Cart
Select table row 179,,Craving Power (Foil),Foil,Condition:Near MintNear MintLightly PlayedModerately Played,Rare,593,$3.68,Quantity:1123456789Add To Cart
Select table row 180,,Craving Power (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Rare,831,$8.17,Quantity:1123456789Add To Cart
Select table row 181,,Craving Power (Hyperspace),Normal,Condition:Near MintNear MintLightly Played,Rare,355,$6.50,Quantity:1123456789Add To Cart
Select table row 182,,Crushing Blow,Normal,Near Mint,Common,077/264,$0.05,Quantity:1123456789Add To Cart
Select table row 183,,Crushing Blow (Foil),Foil,Near Mint,Common,579,$0.07,Quantity:1123456789Add To Cart
Select table row 184,,Crushing Blow (Hyperspace Foil),Foil,Condition:Near MintNear MintLightly Played,Common,817,$0.36,Quantity:1123456789Add To Cart
Select table row 185,,Crushing Blow (Hyperspace),Normal,Near Mint,Common,341,$0.16,Quantity:1123456789Add To Cart
Select table row 186,,Crystal Caves // Experience,Normal,Near Mint,Common,029/264 // T01/T03,$0.07,Quantity:1123456789Add To Cart
Select table row 187,,Crystal Caves // Experience (Hyperspace),Normal,Near Mint,Common,293 // T01,$0.94,Quantity:1123456789Add To Cart
Select table row 188,,Crystal Caves // Force,Normal,Near Mint,Common,029/264 // T03/T03,$0.14,Quantity:1123456789Add To Cart
