Name,Type,Rarity,Number,Quantity
Mace Windu - Vaapad Form Master,Showcase,Rare,270,
Asajj Ventress - Unparalleled Adversary,Normal,Rare,014/257,
Asajj Ventress - Unparalleled Adversary,Hyperspace,Rare,289,
Asajj Ventress - Unparalleled Adversary,Showcase,Rare,271,
General Grievous - General of the Droid Armies,Normal,Special,015/257,
General Grievous - General of the Droid Armies,Showcase,Special,272,
Jango Fett - Concealing the Conspiracy,Normal,Common,016/257,
Jango Fett - Concealing the Conspiracy,Hyperspace,Common,291,
Jango Fett - Concealing the Conspiracy,Showcase,Common,273,
Chancellor Palpatine - Playing Both Sides,Normal,Rare,017/257,
Chancellor Palpatine - Playing Both Sides,Hyperspace,Rare,292,
Chancellor Palpatine - Playing Both Sides,Showcase,Rare,274,
Quinlan Vos - Sticking the Landing,Normal,Common,018/257,
Quinlan Vos - Sticking the Landing,Hyperspace,Common,293,
Quinlan Vos - Sticking the Landing,Showcase,Common,275,
Pau City,Normal,Rare,019/257,
Pau City,Hyperspace,Rare,294,
Sundari,Hyperspace,Common,295,
Sundari // Battle Droid,Normal,Common,020/257,
Sundari // Battle Droid,Hyperspace,Common,295,
Sundari // Clone Trooper,Normal,Common,020/257,
Sundari // Clone Trooper,Hyperspace,Common,295,
The Crystal City,Hyperspace,Common,296,
The Crystal City // Battle Droid,Normal,Common,021/257,
The Crystal City // Battle Droid,Hyperspace,Common,296,
The Crystal City // Clone Trooper,Normal,Common,021/257,
The Crystal City // Clone Trooper,Hyperspace,Common,296,
Droid Manufactory,Normal,Rare,022/257,
Droid Manufactory,Hyperspace,Rare,297,
Lair of Grievous,Hyperspace,Common,298,
Lair of Grievous // Battle Droid,Normal,Common,023/257,
Lair of Grievous // Battle Droid,Hyperspace,Common,298,
Lair of Grievous // Clone Trooper,Normal,Common,023/257,
Lair of Grievous // Clone Trooper,Hyperspace,Common,298,
Tipoca City,Hyperspace,Common,299,
Tipoca City // Battle Droid,Normal,Common,024/257,
Tipoca City // Battle Droid,Hyperspace,Common,299,
Tipoca City // Clone Trooper,Normal,Common,024/257,
Tipoca City // Clone Trooper,Hyperspace,Common,299,
Shadow Collective Camp,Normal,Rare,025/257,
Shadow Collective Camp,Hyperspace,Rare,300,
KCM Mining Facility,Hyperspace,Common,301,
KCM Mining Facility // Battle Droid,Normal,Common,026/257,
KCM Mining Facility // Battle Droid,Hyperspace,Common,301,
KCM Mining Facility // Clone Trooper,Normal,Common,026/257,
KCM Mining Facility // Clone Trooper,Hyperspace,Common,301,
The Nest,Hyperspace,Common,302,
The Nest // Battle Droid,Normal,Common,027/257,
The Nest // Battle Droid,Hyperspace,Common,302,
The Nest // Clone Trooper,Normal,Common,027/257,
The Nest // Clone Trooper,Hyperspace,Common,302,
Petranaki Arena,Normal,Rare,028/257,
Petranaki Arena,Hyperspace,Rare,303,
Level 1313,Hyperspace,Common,518,
Level 1313 // Battle Droid,Normal,Common,029/257,
Level 1313 // Battle Droid,Hyperspace,Common,518,
Level 1313 // Clone Trooper,Normal,Common,029/257,
Level 1313 // Clone Trooper,Hyperspace,Common,518,
Pyke Palace,Hyperspace,Common,519,
Pyke Palace // Battle Droid,Normal,Common,030/257,
Pyke Palace // Battle Droid,Hyperspace,Common,519,
Pyke Palace // Clone Trooper,Normal,Common,030/257,
Pyke Palace // Clone Trooper,Hyperspace,Common,519,
Rune Haako - Scheming Second,Normal,Uncommon,031/257,
Rune Haako - Scheming Second,Hyperspace,Uncommon,304,
Wartime Trade Official,Normal,Common,032/257,
Wartime Trade Official,Hyperspace,Common,305,
Calculating MagnaGuard,Normal,Uncommon,033/257,
Calculating MagnaGuard,Hyperspace,Uncommon,306,
General Grievous - Trophy Collector,Normal,Legendary,034/257,
General Grievous - Trophy Collector,Hyperspace,Legendary,307,
Morgan Elsbeth - Keeper of Many Secrets,Normal,Rare,035/257,
Morgan Elsbeth - Keeper of Many Secrets,Hyperspace,Rare,308,
Devastating Gunship,Normal,Common,036/257,
Devastating Gunship,Hyperspace,Common,309,
Droideka Security,Normal,Common,037/257,
Droideka Security,Hyperspace,Common,310,
Providence Destroyer,Normal,Uncommon,038/257,
Providence Destroyer,Hyperspace,Uncommon,311,
Malevolence - Grievous's Secret Weapon,Normal,Rare,039/257,
Malevolence - Grievous's Secret Weapon,Hyperspace,Rare,312,
A Fine Addition,Normal,Rare,040/257,
A Fine Addition,Hyperspace,Rare,313,
Lethal Crackdown,Normal,Uncommon,041/257,
Lethal Crackdown,Hyperspace,Uncommon,314,
Barriss Offee - Unassuming Apprentice,Normal,Rare,042/257,
Barriss Offee - Unassuming Apprentice,Hyperspace,Rare,315,
Outspoken Representative,Normal,Common,043/257,
Outspoken Representative,Hyperspace,Common,316,
Kashyyyk Defender,Normal,Uncommon,044/257,
Kashyyyk Defender,Hyperspace,Uncommon,317,
41st Elite Corps,Normal,Common,045/257,
41st Elite Corps,Hyperspace,Common,318,
Captain Typho - Protecting the Senator,Normal,Uncommon,046/257,
Captain Typho - Protecting the Senator,Hyperspace,Uncommon,319,
Satine Kryze - Committed to Peace,Normal,Legendary,047/257,
Satine Kryze - Committed to Peace,Hyperspace,Legendary,320,
Obi-Wan's Aethersprite - This is Why I Hate Flying,Normal,Uncommon,048/257,
Obi-Wan's Aethersprite - This is Why I Hate Flying,Hyperspace,Uncommon,321,
Knight of the Republic,Normal,Common,049/257,
Knight of the Republic,Hyperspace,Common,322,
Luminara Unduli - Soft-Spoken Master,Normal,Rare,050/257,
Luminara Unduli - Soft-Spoken Master,Hyperspace,Rare,323,
For The Republic,Normal,Rare,051/257,
For The Republic,Hyperspace,Rare,324,
Hello There,Normal,Uncommon,052/257,
Hello There,Hyperspace,Uncommon,325,
Finn - On the Run,Normal,Rare,053/257,
Finn - On the Run,Hyperspace,Rare,326,
Duchess's Champion,Normal,Uncommon,054/257,
Duchess's Champion,Hyperspace,Uncommon,327,
Equalize,Normal,Rare,055/257,
Equalize,Hyperspace,Rare,328,
Compassionate Senator,Normal,Uncommon,056/257,
Compassionate Senator,Hyperspace,Uncommon,329,
Warrior Drone,Normal,Common,057/257,
Warrior Drone,Hyperspace,Common,330,
Padawan Starfighter,Normal,Common,058/257,
Padawan Starfighter,Hyperspace,Common,331,
Royal Guard Attache,Normal,Common,059/257,
Royal Guard Attache,Hyperspace,Common,332,
Trade Federation Shuttle,Normal,Common,060/257,
Trade Federation Shuttle,Hyperspace,Common,333,
Infantry of the 212th,Normal,Common,061/257,
Infantry of the 212th,Hyperspace,Common,334,
Daughter of Dathomir,Normal,Common,062/257,
Daughter of Dathomir,Hyperspace,Common,335,
Vulture Interceptor Wing,Normal,Uncommon,063/257,
Vulture Interceptor Wing,Hyperspace,Uncommon,336,
Ki-Adi-Mundi - Composed and Confident,Normal,Legendary,064/257,
Ki-Adi-Mundi - Composed and Confident,Hyperspace,Legendary,337,
Falchion Ion Tank,Normal,Common,065/257,
Falchion Ion Tank,Hyperspace,Common,338,
Multi-Troop Transport,Normal,Common,066/257,
Multi-Troop Transport,Hyperspace,Common,339,
The Zillo Beast - Awoken From The Depths,Normal,Rare,067/257,
The Zillo Beast - Awoken From The Depths,Hyperspace,Rare,340,
Foresight,Normal,Rare,068/257,
Foresight,Hyperspace,Rare,341,
Roger Roger,Normal,Rare,069/257,
Roger Roger,Hyperspace,Rare,342,
Perilous Position,Normal,Common,070/257,
Perilous Position,Hyperspace,Common,343,
Unshakeable Will,Normal,Uncommon,071/257,
Unshakeable Will,Hyperspace,Uncommon,344,
I Have The High Ground,Normal,Rare,072/257,
I Have the High Ground,Hyperspace,Rare,345,
Grievous Reassembly,Normal,Common,073/257,
Grievous Reassembly,Hyperspace,Common,346,
Guarding the Way,Normal,Common,074/257,
Guarding the Way,Hyperspace,Common,347,
Disruptive Burst,Normal,Uncommon,075/257,
Disruptive Burst,Hyperspace,Uncommon,348,
Death by Droids,Normal,Uncommon,076/257,
Death by Droids,Hyperspace,Uncommon,349,
Vanquish,Normal,Common,077/257,
Vanquish,Hyperspace,Common,350,
The Invasion of Christophsis,Normal,Legendary,078/257,
The Invasion of Christophsis,Hyperspace,Legendary,351,
Confederate Courier,Normal,Common,079/257,
Confederate Courier,Hyperspace,Common,352,
Poggle the Lesser - Archduke of the Stalgasin Hive,Normal,Rare,080/257,
Poggle the Lesser - Archduke of the Stalgasin Hive,Hyperspace,Rare,353,
Droid Commando,Normal,Common,081/257,
Droid Commando,Hyperspace,Common,354,
MagnaGuard Wing Leader,Normal,Uncommon,082/257,
MagnaGuard Wing Leader,Hyperspace,Uncommon,355,
General's Guardian,Normal,Special,083/257,
Kraken - Confederate Tactician,Normal,Uncommon,084/257,
Kraken - Confederate Tactician,Hyperspace,Uncommon,356,
Kalani - Analytical General,Normal,Rare,085/257,
Kalani - Analytical General,Hyperspace,Rare,357,
Admiral Trench - Holding the Line,Normal,Uncommon,086/257,
Admiral Trench - Holding the Line,Hyperspace,Uncommon,358,
Separatist Super Tank,Normal,Common,087/257,
Separatist Super Tank,Hyperspace,Common,359,
Reprocess,Normal,Uncommon,088/257,
Reprocess,Hyperspace,Uncommon,360,
Consolidation of Power,Normal,Rare,089/257,
Consolidation of Power,Hyperspace,Rare,361,
Echo - Valiant ARC Trooper,Hyperspace,Uncommon,362,
Echo - Valiant Arc Trooper,Normal,Uncommon,090/257,
Republic Tactical Officer,Normal,Common,091/257,
Republic Tactical Officer,Hyperspace,Common,363,
Admiral Yularen - Advising Caution,Normal,Rare,092/257,
Admiral Yularen - Advising Caution,Hyperspace,Rare,364,
Advanced Recon Commando,Normal,Common,093/257,
Advanced Recon Commando,Hyperspace,Common,365,
Shaak Ti - Unity Wins Wars,Normal,Uncommon,094/257,
Shaak Ti - Unity Wins Wars,Hyperspace,Uncommon,366,
Pelta Supply Frigate,Normal,Common,095/257,
Pelta Supply Frigate,Hyperspace,Common,367,
Aayla Secura - Master of the Blade,Normal,Legendary,096/257,
Aayla Secura - Master of the Blade,Hyperspace,Legendary,368,
Captain Rex - Lead by Example,Normal,Special,097/257,
Republic Defense Carrier,Normal,Uncommon,098/257,
Republic Defense Carrier,Hyperspace,Uncommon,369,
Synchronized Strike,Normal,Uncommon,099/257,
Synchronized Strike,Hyperspace,Uncommon,370,
Petition the Senate,Normal,Rare,100/257,
Petition the Senate,Hyperspace,Rare,371,
Mas Amedda - Vice Chair,Normal,Rare,101/257,
Mas Amedda - Vice Chair,Hyperspace,Rare,372,
Manufactured Soldiers,Normal,Uncommon,102/257,
Manufactured Soldiers,Hyperspace,Uncommon,373,
Pyrrhic Assault,Normal,Legendary,103/257,
Pyrrhic Assault,Hyperspace,Legendary,374,
Obedient Vanguard,Normal,Common,104/257,
Obedient Vanguard,Hyperspace,Common,375,
Steadfast Senator,Normal,Uncommon,105/257,
Steadfast Senator,Hyperspace,Uncommon,376,
Coruscant Guard,Normal,Common,106/257,
Coruscant Guard,Hyperspace,Common,377,
Patrolling V-Wing,Normal,Special,107/257,
Ryloth Militia,Normal,Common,108/257,
Ryloth Militia,Hyperspace,Common,378,
501st Liberator,Normal,Common,109/257,
501st Liberator,Hyperspace,Common,379,
Huyang - Enduring Instructor,Normal,Rare,110/257,
Huyang - Enduring Instructor,Hyperspace,Rare,380,
Republic ARC-170,Normal,Common,111/257,
Republic ARC-170,Hyperspace,Common,381,
Subjugating Starfighter,Normal,Common,112/257,
Subjugating Starfighter,Hyperspace,Common,382,
B2 Legionnaires,Normal,Common,113/257,
B2 Legionnaires,Hyperspace,Common,383,
Clone Commander Cody - Commanding the 212th,Normal,Uncommon,114/257,
Clone Commander Cody - Commanding the 212th,Hyperspace,Uncommon,384,
Osi Sobeck - Warden of the Citadel,Normal,Uncommon,115/257,
Osi Sobeck - Warden of the Citadel,Hyperspace,Uncommon,385,
Clone,Normal,Legendary,116/257,
Clone,Hyperspace,Legendary,386,
Baktoid Spider Droid,Normal,Common,117/257,
Baktoid Spider Droid,Hyperspace,Common,387,
Gor - Grievous's Pet,Normal,Legendary,118/257,
Gor - Grievous's Pet,Hyperspace,Legendary,388,
Nameless Valor,Normal,Uncommon,119/257,
Nameless Valor,Hyperspace,Uncommon,389,
Strategic Acumen,Normal,Common,120/257,
Strategic Acumen,Hyperspace,Common,390,
General's Blade,Normal,Rare,121/257,
General's Blade,Hyperspace,Rare,391,
Squad Support,Normal,Uncommon,122/257,
Squad Support,Hyperspace,Uncommon,392,
Outflank,Normal,Special,123/257,
Tactical Advantage,Normal,Special,124/257,
The Clone Wars,Normal,Rare,125/257,
The Clone Wars,Hyperspace,Rare,393,
Encouraging Leadership,Normal,Common,126/257,
Encouraging Leadership,Hyperspace,Common,394,
Resupply,Normal,Common,127/257,
Resupply,Hyperspace,Common,395,
Take Captive,Normal,Common,128/257,
Take Captive,Hyperspace,Common,396,
In Defense of Kamino,Normal,Rare,129/257,
In Defense of Kamino,Hyperspace,Rare,397,
Bo-Katan Kryze - Death Watch Lieutenant,Normal,Rare,130/257,
Bo-Katan Kryze - Death Watch Lieutenant,Hyperspace,Rare,398,
OOM-Series Officer,Normal,Common,131/257,
OOM-Series Officer,Hyperspace,Common,399,
Confederate Tri-Fighter,Normal,Uncommon,132/257,
Confederate Tri-Fighter,Hyperspace,Uncommon,400,
B1 Attack Platform,Normal,Common,133/257,
B1 Attack Platform,Hyperspace,Common,401,
Asajj Ventress - Count Dooku's Assassin,Normal,Uncommon,134/257,
Asajj Ventress - Count Dooku's Assassin,Hyperspace,Uncommon,402,
Darth Maul - Revenge At Last,Hyperspace,Legendary,403,
Darth Maul - Revenge at Last,Normal,Legendary,135/257,
Squadron of Vultures,Normal,Common,136/257,
Squadron of Vultures,Hyperspace,Common,404,
Savage Opress - Monster,Normal,Uncommon,137/257,
Savage Opress - Monster,Hyperspace,Uncommon,405,
Count Dooku - Fallen Jedi,Normal,Rare,138/257,
Count Dooku - Fallen Jedi,Hyperspace,Rare,406,
Corner the Prey,Normal,Rare,139/257,
Corner the Prey,Hyperspace,Rare,407,
Self-Destruct,Normal,Uncommon,140/257,
Self-Destruct,Hyperspace,Uncommon,408,
Soldier of the 501st,Normal,Common,141/257,
Soldier of the 501st,Hyperspace,Common,409,
Anakin's Interceptor - Where the Fun Begins,Normal,Uncommon,142/257,
Anakin's Interceptor - Where the Fun Begins,Hyperspace,Uncommon,410,
Jyn Erso - Stardust,Normal,Rare,143/257,
Jyn Erso - Stardust,Hyperspace,Rare,411,
Batch Brothers,Normal,Common,144/257,
Batch Brothers,Hyperspace,Common,412,
Jesse - Hard-Fighting Patriot,Normal,Uncommon,145/257,
Jesse - Hard-Fighting Patriot,Hyperspace,Uncommon,413,
Steela Gerrera - Beloved Tactician,Normal,Rare,146/257,
Steela Gerrera - Beloved Tactician,Hyperspace,Rare,414,
Anakin Skywalker - Maverick Mentor,Normal,Special,147/257,
Senatorial Corvette,Normal,Common,148/257,
Senatorial Corvette,Hyperspace,Common,415,
Low Altitude Gunship,Normal,Uncommon,149/257,
Low Altitude Gunship,Hyperspace,Uncommon,416,
Saw Gerrera - Resistance is Not Terrorism,Normal,Rare,150/257,
Saw Gerrera - Resistance is Not Terrorism,Hyperspace,Rare,417,
Resolute - Under Anakin's Command,Normal,Legendary,151/257,
Resolute - Under Anakin's Command,Hyperspace,Legendary,418,
Mace Windu's Lightsaber,Normal,Rare,152/257,
Mace Windu's Lightsaber,Hyperspace,Rare,419,
Bold Resistance,Normal,Uncommon,153/257,
Bold Resistance,Hyperspace,Uncommon,420,
Mister Bones - I Performed Violence,Normal,Rare,154/257,
Mister Bones - I Performed Violence,Hyperspace,Rare,421,
Twice the Pride,Normal,Uncommon,155/257,
Twice the Pride,Hyperspace,Uncommon,422,
Unlimited Power,Normal,Legendary,156/257,
Unlimited Power,Hyperspace,Legendary,423,
Disaffected Senator,Normal,Uncommon,157/257,
Disaffected Senator,Hyperspace,Uncommon,424,
Clone Heavy Gunner,Normal,Common,158/257,
Clone Heavy Gunner,Hyperspace,Common,425,
Dendup's Loyalist,Normal,Common,159/257,
Dendup's Loyalist,Hyperspace,Common,426,
Vanguard Droid Bomber,Normal,Common,160/257,
Vanguard Droid Bomber,Hyperspace,Common,427,
Bold Recon Commando,Normal,Common,161/257,
Bold Recon Commando,Hyperspace,Common,428,
Reckless Torrent,Normal,Common,162/257,
Reckless Torrent,Hyperspace,Common,429,
Relentless Rocket Droid,Normal,Common,163/257,
Relentless Rocket Droid,Hyperspace,Common,430,
Hevy - Staunch Martyr,Normal,Uncommon,164/257,
Hevy - Staunch Martyr,Hyperspace,Uncommon,431,
Kit Fisto - The Smiling Jedi,Normal,Rare,165/257,
Kit Fisto - The Smiling Jedi,Hyperspace,Rare,432,
Aurra Sing - Crackshot Sniper,Normal,Uncommon,166/257,
Aurra Sing - Crackshot Sniper,Hyperspace,Uncommon,433,
Heavy Persuader Tank,Normal,Common,167/257,
Heavy Persuader Tank,Hyperspace,Common,434,
Old Access Codes,Normal,Common,168/257,
Old Access Codes,Hyperspace,Common,435,
Clone Cohort,Normal,Uncommon,169/257,
Clone Cohort,Hyperspace,Uncommon,436,
Daring Raid,Normal,Common,170/257,
Daring Raid,Hyperspace,Common,437,
Grenade Strike,Normal,Common,171/257,
Grenade Strike,Hyperspace,Common,438,
Grim Resolve,Normal,Common,172/257,
Grim Resolve,Hyperspace,Common,439,
Blood Sport,Normal,Uncommon,173/257,
Blood Sport,Hyperspace,Uncommon,440,
Open Fire,Normal,Special,174/257,
Strategic Analysis,Normal,Common,175/257,
Strategic Analysis,Hyperspace,Common,441,
Caught in the Crossfire,Normal,Rare,176/257,
Caught in the Crossfire,Hyperspace,Rare,442,
Guerilla Insurgency,Normal,Rare,177/257,
Guerilla Insurgency,Hyperspace,Rare,443,
Planetary Invasion,Normal,Legendary,178/257,
Planetary Invasion,Hyperspace,Legendary,444,
Soulless One - Customized for Grievous,Normal,Uncommon,179/257,
Soulless One - Customized for Grievous,Hyperspace,Uncommon,445,
Separatist Commando,Normal,Special,180/257,
Elite P-38 Starfighter,Normal,Common,181/257,
Elite P-38 Starfighter,Hyperspace,Common,446,
Infiltrating Demolisher,Normal,Common,182/257,
Infiltrating Demolisher,Hyperspace,Common,447,
Rush Clovis - Banking Clan Scion,Normal,Rare,183/257,
Rush Clovis - Banking Clan Scion,Hyperspace,Rare,448,
Tactical Droid Commander,Normal,Uncommon,184/257,
Tactical Droid Commander,Hyperspace,Uncommon,449,
Ziro the Hutt - Colorful Schemer,Normal,Uncommon,185/257,
Ziro the Hutt - Colorful Schemer,Hyperspace,Uncommon,450,
San Hill - Chairman of the Banking Clan,Normal,Rare,186/257,
San Hill - Chairman of the Banking Clan,Hyperspace,Rare,451,
Cad Bane - Hostage Taker,Normal,Legendary,187/257,
Cad Bane - Hostage Taker,Hyperspace,Legendary,452,
Wartime Profiteering,Normal,Uncommon,188/257,
Wartime Profiteering,Hyperspace,Uncommon,453,
Unnatural Life,Normal,Rare,189/257,
Unnatural Life,Hyperspace,Rare,454,
On The Doorstep,Normal,Common,190/257,
On the Doorstep,Hyperspace,Common,455,
Wolf Pack Escort,Normal,Common,191/257,
Wolf Pack Escort,Hyperspace,Common,456,
Padme Amidala - Pursuing Peace,Normal,Uncommon,192/257,
Padme Amidala - Pursuing Peace,Hyperspace,Uncommon,457,
R2-D2 - Full of Solutions,Normal,Uncommon,193/257,
R2-D2 - Full of Solutions,Hyperspace,Uncommon,458,
Ahsoka Tano - Always Ready For Trouble,Normal,Legendary,194/257,
Ahsoka Tano - Always Ready For Trouble,Hyperspace,Legendary,459,
Sabine Wren - You Can Count On Me,Normal,Rare,195/257,
Sabine Wren - You Can Count On Me,Hyperspace,Rare,460,
Plo Koon - Koh-to-yah!,Normal,Uncommon,196/257,
Plo Koon - Koh-to-yah!,Hyperspace,Uncommon,461,
Republic Attack Pod,Normal,Common,197/257,
Republic Attack Pod,Hyperspace,Common,462,
Enfys Nest - Champion of Justice,Normal,Rare,198/257,
Enfys Nest - Champion of Justice,Hyperspace,Rare,463,
Clear the Field,Normal,Uncommon,199/257,
Clear the Field,Hyperspace,Uncommon,464,
Creative Thinking,Normal,Common,200/257,
Creative Thinking,Hyperspace,Common,465,
Aid from the Innocent,Normal,Rare,201/257,
Aid from the Innocent,Hyperspace,Rare,466,
Jar Jar Binks - Foolish Gungan,Normal,Uncommon,202/257,
Jar Jar Binks - Foolish Gungan,Hyperspace,Uncommon,467,
Chancellor Palpatine - Wartime Chancellor,Normal,Legendary,203/257,
Chancellor Palpatine - Wartime Chancellor,Hyperspace,Legendary,468,
Impropriety Among Thieves,Normal,Rare,204/257,
Impropriety Among Thieves,Hyperspace,Rare,469,
Clone Dive Trooper,Normal,Common,205/257,
Clone Dive Trooper,Hyperspace,Common,470,
Independent Senator,Normal,Uncommon,206/257,
Independent Senator,Hyperspace,Uncommon,471,
B1 Security Team,Normal,Common,207/257,
B1 Security Team,Hyperspace,Common,472,
Favorable Delegate,Normal,Common,208/257,
Favorable Delegate,Hyperspace,Common,473,
Hotshot V-Wing,Normal,Common,209/257,
Hotshot V-Wing,Hyperspace,Common,474,
Lux Bonteri - Renegade Separatist,Normal,Uncommon,210/257,
Lux Bonteri - Renegade Separatist,Hyperspace,Uncommon,475,
Sly Moore - Secretive Advisor,Normal,Rare,211/257,
Sly Moore - Secretive Advisor,Hyperspace,Rare,476,
Freelance Assassin,Normal,Common,212/257,
Freelance Assassin,Hyperspace,Common,477,
Sanctioner's Shuttle,Normal,Uncommon,213/257,
Sanctioner's Shuttle,Hyperspace,Uncommon,478,
Hidden Sharpshooter,Normal,Common,214/257,
Hidden Sharpshooter,Hyperspace,Common,479,
Geonosis Patrol Fighter,Normal,Common,215/257,
Geonosis Patrol Fighter,Hyperspace,Common,480,
Fives - In Search of Truth,Normal,Rare,216/257,
Fives - In Search of Truth,Hyperspace,Rare,481,
Tri-Droid Suppressor,Normal,Common,217/257,
Tri-Droid Suppressor,Hyperspace,Common,482,
Droid Cohort,Normal,Common,218/257,
Droid Cohort,Hyperspace,Common,483,
On Top of Things,Normal,Uncommon,219/257,
On Top of Things,Hyperspace,Uncommon,484,
Shadowed Intentions,Normal,Rare,220/257,
Shadowed Intentions,Hyperspace,Rare,485,
In Pursuit,Normal,Common,221/257,
In Pursuit,Hyperspace,Common,486,
Political Pressure,Normal,Common,222/257,
Political Pressure,Hyperspace,Common,487,
Unmasking the Conspiracy,Normal,Rare,223/257,
Unmasking the Conspiracy,Hyperspace,Rare,488,
Breaking In,Normal,Common,224/257,
Breaking In,Hyperspace,Common,489,
Now There Are Two of Them,Normal,Legendary,225/257,
Now There Are Two of Them,Hyperspace,Legendary,490,
Waylay,Normal,Special,226/257,
Prisoner of War,Normal,Uncommon,227/257,
Prisoner of War,Hyperspace,Uncommon,491,
Droid Starfighter,Normal,Common,228/257,
Droid Starfighter,Hyperspace,Common,492,
Battle Droid Escort,Normal,Special,229/257,
Super Battle Droid,Normal,Common,230/257,
Super Battle Droid,Hyperspace,Common,493,
Dwarf Spider Droid,Normal,Common,231/257,
Dwarf Spider Droid,Hyperspace,Common,494,
Patrolling AAT,Normal,Common,232/257,
Patrolling AAT,Hyperspace,Common,495,
Hailfire Tank,Normal,Common,233/257,
Hailfire Tank,Hyperspace,Common,496,
The Invisible Hand - Imposing Flagship,Normal,Rare,234/257,
The Invisible Hand - Imposing Flagship,Hyperspace,Rare,497,
Battle Droid Legion,Normal,Uncommon,235/257,
Battle Droid Legion,Hyperspace,Uncommon,498,
Grievous's Wheel Bike,Normal,Special,236/257,
Droid Deployment,Normal,Common,237/257,
Droid Deployment,Hyperspace,Common,499,
Merciless Contest,Normal,Common,238/257,
Merciless Contest,Hyperspace,Common,500,
Execute Order 66,Normal,Rare,239/257,
Execute Order 66,Hyperspace,Rare,501,
332nd Stalwart,Normal,Special,240/257,
Phase I Clone Trooper,Normal,Common,241/257,
Phase I Clone Trooper,Hyperspace,Common,502,
Phase II Clone Trooper,Normal,Common,242/257,
Phase II Clone Trooper,Hyperspace,Common,503,
Republic Commando,Normal,Common,243/257,
Republic Commando,Hyperspace,Common,504,
ETA-2 Light Interceptor,Normal,Common,244/257,
Eta-2 Light Interceptor,Hyperspace,Common,505,
Armored Saber Tank,Normal,Common,245/257,
Armored Saber Tank,Hyperspace,Common,506,
Tranquility - Inspiring Flagship,Normal,Rare,246/257,
Tranquility - Inspiring Flagship,Hyperspace,Rare,507,
AT-TE Vanguard,Normal,Uncommon,247/257,
AT-TE Vanguard,Hyperspace,Uncommon,508,
Ahsoka's Padawan Lightsaber,Normal,Special,248/257,
Heroes on Both Sides,Normal,Common,249/257,
Heroes on Both Sides,Hyperspace,Common,509,
Sword and Shield Maneuver,Normal,Uncommon,250/257,
Sword and Shield Maneuver,Hyperspace,Uncommon,510,
Drop In,Normal,Common,251/257,
Drop In,Hyperspace,Common,511,
Aggrieved Parliamentarian,Normal,Common,252/257,
Aggrieved Parliamentarian,Hyperspace,Common,512,
Headhunter Squadron,Normal,Common,253/257,
Headhunter Squadron,Hyperspace,Common,513,
Volunteer Soldier,Normal,Common,254/257,
Volunteer Soldier,Hyperspace,Common,514,
Brain Invaders,Normal,Rare,255/257,
Brain Invaders,Hyperspace,Rare,515,
Hold-Out Blaster,Normal,Common,256/257,
Hold-Out Blaster,Hyperspace,Common,516,
Private Manufacturing,Normal,Uncommon,257/257,
Private Manufacturing,Hyperspace,Uncommon,517,
